clean_name,2,5A,1,3,5B,9,6B,4,7A,8,6C,7B,6A,NA
Chicago,0.5477166308298497,9.330050537773746e-4,0,5.259203606311044e-4,9.436633009342267e-5,0,0,0,0,0,0,0,NA,0
Arlington Heights,0.7759570713436813,0.0011235955056179776,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
Schaumburg,0.7279826298948652,0,0,0,0,NA,0,0,NA,0,NA,NA,NA,NA
Palatine,0.6900130213471175,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
Skokie,0.7207169998347926,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
Oak Lawn,0.7400367616342217,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
Orland Park,0.8024729384845551,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
Evanston,0.6620695912534591,0.0015082956259426848,0,0,0,0,0,0,0,NA,0,NA,NA,NA
Des Plaines,0.7665728652488814,0,0,0,0,0,0,0,0,NA,0,0,0,NA
Tinley Park,0.8103962505325948,0.0027100271002710027,0,0,0,NA,0,0,0,0,NA,NA,NA,NA
Mt Prospect,0.7965513380360542,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
Oak Park,0.7384417558010404,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA
Glenview,0.7792130483957378,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA
Hoffman Estates,0.7700304714106471,0,0,0,0,NA,0,0,0,NA,0,NA,NA,NA
Park Ridge,0.7703242712086472,0,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
Cicero,0.7661845730027548,0.0021810250817884407,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
Berwyn,0.7571195227611676,0.0012903225806451613,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA
Streamwood,0.7372788818519327,0,0,0,0,NA,0,NA,0,NA,NA,0,NA,NA
Northbrook,0.772274304274009,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA
Elk Grove Village,0.7818909454727364,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA
Wheeling,0.6873119358074222,0,0,0,0,NA,0,NA,0,NA,NA,NA,NA,NA
Calumet City,0.6920391061452514,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA
Niles,0.7876006742835737,0.009708737864077669,0,0,0,NA,0,NA,NA,NA,NA,0,NA,NA
Lansing,0.7395076865038197,0.0017921146953405018,0,0,0,NA,0,0,NA,0,NA,NA,NA,NA
Wilmette,0.7371334239658186,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA
Morton Grove,0.8074584515605999,0.002785515320334262,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA
Oak Forest,0.7888647866955893,0.003205128205128205,0,0,0,0,0,0,NA,0,NA,NA,NA,NA
Harvey,0.47234360012789084,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA
Burbank,0.8074900740422792,0,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
Chicago Heights,0.6385172186883088,0.0017513134851138354,0,0,0,0,0,0,NA,0,NA,NA,NA,NA
Rolling Meadows,0.731622746185853,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA
Dolton,0.6814501510574018,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA
Evergreen Park,0.7937748015873016,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA
Brookfield,0.7236694503303004,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
South Holland,0.7785302232254828,0.006779661016949152,0,0,0.009950248756218905,NA,0,NA,NA,0,NA,NA,NA,NA
Elmwood Park,0.7424089068825911,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA
Homewood,0.7558922558922558,0,0,0,0,NA,0,0,NA,0,NA,NA,NA,NA
Westchester,0.8035470668485676,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA
Palos Hills,0.7447552447552448,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA
Elgin,0.7423699670439892,0,0,0,0,NA,0,NA,0,NA,NA,NA,NA,NA
Maywood,0.6976070720926688,0.0038314176245210726,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA
Lemont,0.7764523625096824,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA
Matteson,0.7610536218250236,0.006329113924050633,0,0,0,0,0,0,NA,0,NA,NA,NA,NA
Blue Island,0.6567872932700181,0,0,0,0.011695906432748537,0,0,0,NA,0,NA,NA,NA,NA
La Grange,0.7160020023360587,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA
Franklin Park,0.7857621440536013,0,0,0,0,NA,0,0,NA,NA,NA,NA,0,NA
Country Club Hills,0.7151240778001341,0,0,0,0,0,NA,0,NA,0,NA,NA,NA,NA
Buffalo Grove,0.743710164374371,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bellwood,0.7784380305602716,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA
Alsip,0.7681134654818865,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA
Prospect Heights,0.7241744658308317,0,0,0,0,NA,0,NA,0,NA,NA,NA,NA,NA
Crestwood,0.6726342710997443,0,0,0,0,NA,0,0,NA,0,NA,NA,NA,NA
Bartlett,0.7470123184408899,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
Norridge,0.7880855772777573,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Markham,0.609878844361603,0.0028169014084507044,0,0,0.01098901098901099,NA,0,0,NA,0,NA,NA,NA,NA
Hazelcrest,0.6553398058252428,0.007692307692307693,0,0,0,NA,0,0,NA,0,NA,NA,NA,NA
Park Forest,0.6511275345840439,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA
Melrose Park,0.6619745468569225,0,0,0,0.0030864197530864196,0,0,0,0,NA,NA,NA,NA,NA
Forest Park,0.5962359332557237,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA
Palos Heights,0.8592242567434535,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
Midlothian,0.7448575949367089,0,0,0,0,NA,NA,0,NA,0,NA,NA,NA,NA
Hanover Park,0.7433962264150943,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA
Western Springs,0.7848025528520144,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
Lincolnwood,0.7777777777777778,0.0031645569620253164,0,0,0,NA,0,NA,0,NA,NA,NA,NA,NA
Hickory Hills,0.7645802179021577,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA
Winnetka,0.7061188030370701,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
La Grange Park,0.8120681713496085,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Bridgeview,0.773401297497683,0,0,0,0,NA,0,NA,0,NA,NA,NA,NA,NA
River Forest,0.7616237904177484,0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA
Chicago Ridge,0.690054160512063,0,0,0,0,0,0,0,0,NA,NA,NA,0,NA
Richton Park,0.7033600802407222,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA
Riverdale,0.6076238881829733,0.005917159763313609,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA
Flossmoor,0.7883154309667278,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Worth,0.722554347826087,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA
Schiller Park,0.7027636773829667,0,0,0,0,NA,0,NA,0,NA,NA,NA,NA,NA
North Lake,0.772635814889336,0.005208333333333333,0,0,0,NA,0,NA,0,NA,NA,NA,NA,NA
Lyons,0.6602953953084274,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA
Glencoe,0.7149912841371295,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glenwood,0.7271105826397146,0.015151515151515152,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA
Riverside,0.7909823828008361,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sauk Village,0.5358596930786095,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA
River Grove,0.7550432276657061,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA
Inverness,0.7879684418145957,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Justice,0.765814266487214,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Hillside,0.7291666666666666,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA
Willow Springs,0.7368610511159107,0,0,0,0.0625,NA,NA,NA,0,NA,NA,NA,NA,NA
Lynwood,0.732295142751205,0.029411764705882353,0,0,0.03333333333333333,NA,0,NA,NA,0,NA,NA,NA,NA
Broadview,0.7577497129735936,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
Harwood Heights,0.771274547554871,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA
Northfield,0.7182821118991332,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA
Summit,0.6722354813046937,0,0,0,0,NA,0,NA,0,NA,NA,NA,NA,NA
North Riverside,0.7735693701111569,0,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA
Calumet Park,0.7089397089397089,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA
Robbins,0.3717299578059072,0.011111111111111112,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA
Steger,0.6195372750642674,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA
Countryside,0.6979775280898877,0,0,0,0,NA,0,0,NA,NA,NA,0,NA,NA
Barrington,0.6689814814814815,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA
Stickney,0.7783959202596198,0.010526315789473684,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indian Head Park,0.6858762399622107,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA
Posen,0.6764289088332546,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA
Palos Park,0.7645665561345334,0.012195121951219513,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orland Hills,0.8212745567800671,0.038461538461538464,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA
Burr Ridge,0.6407573492775287,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA
Olympia Fields,0.8169546436285097,0,0,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA
South Barrington,0.7750826901874311,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Berkeley,0.829021372328459,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA
Hometown,0.7752126366950183,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South Chicago Heights,0.627514600908501,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA
Burnham,0.6868250539956804,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA
Roselle,0.7735849056603774,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dixmoor,0.5831739961759083,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Barrington Hills,0.5542635658914729,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phoenix,0.4759036144578313,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Thornton,0.7317813765182186,0,0,0,0,NA,0,0,NA,0,NA,NA,NA,NA
Kenilworth,0.6901408450704225,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rosemont,0.65,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stone Park,0.6627497062279671,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ford Heights,0.3601003764115433,0.038461538461538464,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Hinsdale,0.6457286432160804,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Merrionette Park,0.6873977086743044,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
East Hazelcrest,0.6457023060796646,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA
Bedford Park,0.774468085106383,0,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA
Forestview,0.8432835820895522,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA
Golf,0.776595744680851,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hodgkins,0.7951807228915663,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA
Mc Cook,0.6666666666666666,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA
Bensenville,NA,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA
Deerfield,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Deer Park,0.8,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oak Brook,0.5,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Homer Glen,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
University Park,0.3333333333333333,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
East Dundee,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Frankfort,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
