year,nbhd_code,exe_total,township,nbhd
2021,10012,12206836,10,012
2021,NA,25645660,NA,NA
2021,10021,7171042,10,021
2021,10011,2161826,10,011
2021,10014,1206640,10,014
2021,10024,7922252,10,024
2021,10031,8692761,10,031
2021,10022,1870746,10,022
2021,10030,1521236,10,030
2021,10023,8512901,10,023
2021,10040,8755917,10,040
2021,10025,516448,10,025
2021,29022,32866319,29,022
2021,29050,14926932,29,050
2021,29130,868000,29,130
2021,29011,8470032,29,011
2021,29120,1326000,29,120
2021,29013,4331316,29,013
2021,29041,6887885,29,041
2021,29084,14039007,29,084
2021,29110,2228045,29,110
2021,29170,4553407,29,170
2021,29070,81544471,29,070
2021,29043,11447144,29,043
2021,29060,54639662,29,060
2021,29100,42412757,29,100
2021,29180,2935547,29,180
2021,29140,2357588,29,140
2021,29031,5525056,29,031
2021,29033,31907652,29,033
2021,29032,12277591,29,032
2021,29042,6103159,29,042
2021,29083,17272933,29,083
2021,29080,26722758,29,080
2021,29090,12766359,29,090
2021,29082,6534714,29,082
2021,27100,8979573,27,100
2021,38013,51800872,38,013
2021,38100,4469645,38,100
2021,38023,16229944,38,023
2021,38021,0,38,021
2021,38053,14961823,38,053
2021,38051,20266900,38,051
2021,38012,24207238,38,012
2021,38011,12965750,38,011
2021,38027,7413943,38,027
2021,38031,55083850,38,031
2021,38014,10238098,38,014
2021,38040,74800179,38,040
2021,38026,5308777,38,026
2021,38048,3700300,38,048
2021,38022,11732397,38,022
2021,38082,16342638,38,082
2021,38999,0,38,999
2021,38090,17763054,38,090
2021,38056,18196532,38,056
2021,38045,7691463,38,045
2021,38055,691691,38,055
2021,38041,8183467,38,041
2021,38071,15277024,38,071
2021,38052,15041433,38,052
2021,38070,67200139,38,070
2021,38015,2915032,38,015
2021,38050,29857509,38,050
2021,38081,32236762,38,081
2021,38110,4814388,38,110
2021,38010,49735995,38,010
2021,38072,18295265,38,072
2021,38032,9551990,38,032
2021,38080,24647948,38,080
2021,23010,4720651,23,010
2021,25052,42859636,25,052
2021,25072,22055529,25,072
2021,25320,980118,25,320
2021,25061,7980553,25,061
2021,25310,174000,25,310
2021,25250,2670624,25,250
2021,25230,1671108,25,230
2021,25270,4009700,25,270
2021,25021,24542051,25,021
2021,25010,16746956,25,010
2021,25350,5620181,25,350
2021,25132,27280544,25,132
2021,25023,6290439,25,023
2021,25300,1010000,25,300
2021,25082,1458378,25,082
2021,23011,4441510,23,011
2021,25190,1958999,25,190
2021,25200,28180397,25,200
2021,25090,7286721,25,090
2021,25160,35979810,25,160
2021,25220,770000,25,220
2021,25280,2731217,25,280
2021,25051,6633333,25,051
2021,25430,14850783,25,430
2021,25210,5023671,25,210
2021,25420,1416061,25,420
2021,25102,30769047,25,102
2021,25110,3933471,25,110
2021,25100,10142811,25,100
2021,25011,29620028,25,011
2021,25400,2704407,25,400
2021,25260,14315813,25,260
2021,25240,346400,25,240
2021,25131,14513464,25,131
2021,25140,3705258,25,140
2021,25180,7951587,25,180
2021,23170,4109363,23,170
2021,23171,6835603,23,171
2021,23021,6832059,23,021
2021,23043,5563876,23,043
2021,23041,7649884,23,041
2021,23042,2394010,23,042
2021,23022,16907439,23,022
2021,23080,5528416,23,080
2021,23050,3356857,23,050
2021,23120,28145041,23,120
2021,23045,2525339,23,045
2021,23044,6076809,23,044
2021,23091,4116283,23,091
2021,23132,8375430,23,132
2021,23141,8990518,23,141
2021,23110,4584604,23,110
2021,23092,14833441,23,092
2021,23100,13705768,23,100
2021,23150,25020834,23,150
2021,23093,21165883,23,093
2021,17011,11011664,17,011
2021,17120,19239060,17,120
2021,23094,8937751,23,094
2021,17050,2682887,17,050
2021,17042,8238602,17,042
2021,17112,8270156,17,112
2021,18030,5089341,18,030
2021,18035,11625930,18,035
2021,18090,20888574,18,090
2021,18040,5309646,18,040
2021,18011,33161514,18,011
2021,18015,14879302,18,015
2021,18014,6616282,18,014
2021,18010,43293882,18,010
2021,18020,55163282,18,020
2021,18080,2953900,18,080
2021,18012,24299456,18,012
2021,18999,0,18,999
2021,18019,14948867,18,019
2021,18013,28630191,18,013
2021,18070,18263517,18,070
2021,18060,4764618,18,060
2021,18075,2230373,18,075
2021,18018,2208815,18,018
2021,18082,5886359,18,082
2021,18050,11676870,18,050
2021,35100,3206988,35,100
2021,35140,1201365,35,140
2021,35170,17176221,35,170
2021,35011,16810632,35,011
2021,35080,17308923,35,080
2021,35109,30474584,35,109
2021,35160,2075724,35,160
2021,35035,1124642,35,035
2021,35115,3341066,35,115
2021,35111,1287060,35,111
2021,35150,2552629,35,150
2021,35020,46962776,35,020
2021,35116,6436006,35,116
2021,35117,3055922,35,117
2021,35103,3492104,35,103
2021,35065,8047022,35,065
2021,35104,2145708,35,104
2021,35040,81955935,35,040
2021,35102,2435041,35,102
2021,35012,23721433,35,012
2021,35019,0,35,019
2021,35031,5958659,35,031
2021,35105,5516927,35,105
2021,35114,5546236,35,114
2021,35101,39101664,35,101
2021,35074,11618572,35,074
2021,35106,1801242,35,106
2021,35110,7015211,35,110
2021,35151,1256438,35,151
2021,35071,10133363,35,071
2021,35112,10521647,35,112
2021,35075,7414554,35,075
2021,35090,28887881,35,090
2021,35072,17548377,35,072
2021,35107,3543394,35,107
2021,35108,5605773,35,108
2021,35030,37355969,35,030
2021,35060,2121921,35,060
2021,35091,2485159,35,091
2021,35113,6221824,35,113
2021,35032,5975355,35,032
2021,35085,3892215,35,085
2021,16010,32922891,16,010
2021,16062,43479156,16,062
2021,16011,29061883,16,011
2021,16030,38304978,16,030
2021,16100,55946299,16,100
2021,16095,1559681,16,095
2021,16094,4177520,16,094
2021,16051,48170672,16,051
2021,16012,18359495,16,012
2021,16070,3941851,16,070
2021,16085,6171170,16,085
2021,16080,0,16,080
2021,16091,2025133,16,091
2021,16061,40649959,16,061
2021,16096,3492811,16,096
2021,16065,4783638,16,065
2021,71360,0,71,360
2021,16360,0,16,360
2021,22031,24015937,22,031
2021,22010,8361000,22,010
2021,22030,14826096,22,030
2021,22180,69302957,22,180
2021,22091,11156958,22,091
2021,22050,81103602,22,050
2021,22143,6860705,22,143
2021,22060,1599932,22,060
2021,22082,3252941,22,082
2021,22085,58186814,22,085
2021,22070,14201725,22,070
2021,22080,63188157,22,080
2021,22140,1173712,22,140
2021,22023,19040993,22,023
2021,22040,32310168,22,040
2021,22022,6120269,22,022
2021,22130,10429181,22,130
2021,22093,10875407,22,093
2021,22145,294000,22,145
2021,22111,49942477,22,111
2021,22100,4193597,22,100
2021,22110,19661933,22,110
2021,22087,14001759,22,087
2021,22120,13007127,22,120
2021,71361,20321065,71,361
2021,22142,953161,22,142
2021,22150,45216227,22,150
2021,71390,50368847,71,390
2021,22141,4434010,22,141
2021,71362,38817422,71,362
2021,24023,4156512,24,023
2021,24031,145218716,24,031
2021,24021,941053,24,021
2021,24032,6437483,24,032
2021,24052,20401665,24,052
2021,24051,45655696,24,051
2021,17200,3216077,17,200
2021,17020,5604965,17,020
2021,17013,18246639,17,013
2021,17041,14146208,17,041
2021,17060,10234034,17,060
2021,17090,18762319,17,090
2021,17130,8562130,17,130
2021,24060,7691341,24,060
2021,24150,5477655,24,150
2021,72051,10216905,72,051
2021,24022,2660925,24,022
2021,24160,1114585,24,160
2021,24081,133226662,24,081
2021,24140,1786048,24,140
2021,17140,10550261,17,140
2021,17210,6702162,17,210
2021,17110,13824345,17,110
2021,17220,14639362,17,220
2021,75010,26186761,75,010
2021,24101,55009127,24,101
2021,24999,0,24,999
2021,71461,30424620,71,461
2021,24013,22173772,24,013
2021,24103,7927751,24,103
2021,71410,56427273,71,410
2021,71021,17914175,71,021
2021,71463,6110643,71,463
2021,24102,6375380,24,102
2021,75040,31090463,75,040
2021,75023,7445639,75,023
2021,75021,18260292,75,021
2021,73041,18437541,73,041
2021,17043,21597938,17,043
2021,17080,14786981,17,080
2021,17071,15458346,17,071
2021,75032,8742758,75,032
2021,75033,11304191,75,033
2021,75031,49426258,75,031
2021,75022,29065355,75,022
2021,75060,11860553,75,060
2021,26040,19637734,26,040
2021,71440,63637524,71,440
2021,26030,6500178,26,030
2021,20040,9345973,20,040
2021,20010,7093759,20,010
2021,71470,0,71,470
2021,20020,37275781,20,020
2021,20011,10404428,20,011
2021,26050,4376387,26,050
2021,71050,41616167,71,050
2021,26010,103477139,26,010
2021,26999,0,26,999
2021,71371,92150787,71,371
2021,20090,6487831,20,090
2021,20100,0,20,100
2021,20030,44915076,20,030
2021,20080,74990099,20,080
2021,20081,35746896,20,081
2021,20999,0,20,999
2021,20060,14667508,20,060
2021,20050,55711166,20,050
2021,20091,250628,20,091
2021,71090,59734732,71,090
2021,20070,15796328,20,070
2021,71041,45504987,71,041
2021,71042,39242030,71,042
2021,71030,33099137,71,030
2021,71022,13717774,71,022
2021,71999,0,71,999
2021,71580,551030,71,580
2021,71560,11521544,71,560
2021,71010,45376115,71,010
2021,71420,14881139,71,420
2021,71430,82486606,71,430
2021,71402,25318571,71,402
2021,71060,20086390,71,060
2021,71071,44752383,71,071
2021,71081,59333458,71,081
2021,71599,46000,71,599
2021,71110,66714498,71,110
2021,71082,90551407,71,082
2021,71101,28395401,71,101
2021,71074,29436628,71,074
2021,77101,15021889,77,101
2021,71150,157942297,71,150
2021,71600,17081037,71,600
2021,71140,20280545,71,140
2021,71171,26243274,71,171
2021,71120,48874592,71,120
2021,71070,126429982,71,070
2021,77150,58012709,77,150
2021,77151,16242773,77,151
2021,71260,47504438,71,260
2021,71200,108036312,71,200
2021,71250,20058287,71,250
2021,71270,17339981,71,270
2021,71210,31218017,71,210
2021,71280,14599002,71,280
2021,71180,81677797,71,180
2021,71520,11502062,71,520
2021,77030,117214853,77,030
2021,73031,126790865,73,031
2021,73022,6924584,73,022
2021,73011,34867205,73,011
2021,73012,32921227,73,012
2021,73032,45661110,73,032
2021,73034,7192568,73,034
2021,73050,29332730,73,050
2021,73060,75330255,73,060
2021,73044,6001296,73,044
2021,73042,23498864,73,042
2021,73999,0,73,999
2021,73070,51149391,73,070
2021,73081,46643095,73,081
2021,73084,65459538,73,084
2021,73092,11099633,73,092
2021,77060,22433016,77,060
2021,99999,0,99,999
2021,73062,71234833,73,062
2021,73150,18374880,73,150
2021,73093,36022308,73,093
2021,73063,28636086,73,063
2021,73120,13245330,73,120
2021,73110,10178532,73,110
2021,73200,6658297,73,200
2021,77170,44681621,77,170
2021,74012,93735751,74,012
2021,77051,24796283,77,051
2021,77152,6628053,77,152
2021,77999,0,77,999
2021,74999,0,74,999
2021,33020,6479647,33,020
2021,33015,10182702,33,015
2021,33050,4949022,33,050
2021,31050,15994487,31,050
2021,31040,9649813,31,040
2021,31041,14969425,31,041
2021,31042,16561013,31,042
2021,31190,8484231,31,190
2021,31200,4710867,31,200
2021,31020,49620702,31,020
2021,31010,8898917,31,010
2021,31080,50244382,31,080
2021,31120,9620037,31,120
2021,31032,26328734,31,032
2021,31060,36405261,31,060
2021,31999,0,31,999
2021,31000,0,31,000
2021,33040,15101721,33,040
2021,33030,10287465,33,030
2021,31091,26980213,31,091
2021,31092,18764833,31,092
2021,31031,17788732,31,031
2021,31034,33235971,31,034
2021,31110,30655019,31,110
2021,31021,1568902,31,021
2021,31102,18097354,31,102
2021,31104,33693178,31,104
2021,31030,21433567,31,030
2021,34010,23054554,34,010
2021,34020,26909554,34,020
2021,34050,8795296,34,050
2021,34999,0,34,999
2021,31033,2835365,31,033
2021,31170,7198388,31,170
2021,31141,27119729,31,141
2021,31161,6174809,31,161
2021,31103,10657679,31,103
2021,31174,3393095,31,174
2021,31173,2830036,31,173
2021,31150,10128932,31,150
2021,31152,6649748,31,152
2021,31151,4075218,31,151
2021,31160,27029082,31,160
2021,31210,9055645,31,210
2021,34070,6747103,34,070
2021,34080,3910673,34,080
2021,34040,698847,34,040
2021,70030,36725316,70,030
2021,77040,18841845,77,040
2021,77020,60370395,77,020
2021,77011,43307293,77,011
2021,77013,80071869,77,013
2021,27010,15606814,27,010
2021,27030,23468094,27,030
2021,27020,26448502,27,020
2021,27070,13767139,27,070
2021,27040,15677451,27,040
2021,27041,12595975,27,041
2021,27090,12613532,27,090
2021,77102,46275464,77,102
2021,77120,100258857,77,120
2021,77103,11445312,77,103
2021,77104,1753437,77,104
2021,77091,26400108,77,091
2021,77080,26244546,77,080
2021,27080,13081137,27,080
2021,77085,3411959,77,085
2021,27050,22242931,27,050
2021,27060,21585411,27,060
2021,11020,29113807,11,020
2021,11010,29507861,11,010
2021,15030,51182611,15,030
2021,15015,12453694,15,015
2021,15020,9346688,15,020
2021,15065,13367045,15,065
2021,15040,12604768,15,040
2021,15999,0,15,999
2021,15025,2715508,15,025
2021,77092,4906539,77,092
2021,77115,95427255,77,115
2021,15071,20248737,15,071
2021,15072,8003777,15,072
2021,11050,26707422,11,050
2021,11030,21843720,11,030
2021,11040,19484443,11,040
2021,11060,9172849,11,060
2021,11070,29918887,11,070
2021,15085,9505963,15,085
2021,15080,20275975,15,080
2021,15090,10729102,15,090
2021,36011,0,36,011
2021,76060,63973638,76,060
2021,76030,108768499,76,030
2021,74022,138699483,74,022
2021,74011,12520297,74,011
2021,74013,11223941,74,013
2021,77052,22062304,77,052
2021,77131,71361717,77,131
2021,74030,94855087,74,030
2021,76010,68577528,76,010
2021,77132,38322841,77,132
2021,76011,56876529,76,011
2021,76999,0,76,999
2021,77141,94524286,77,141
2021,76012,19383818,76,012
2021,76040,8442911,76,040
2021,76042,6164393,76,042
2021,76050,51072075,76,050
2021,76041,12169635,76,041
2021,21052,33039971,21,052
2021,21053,488571,21,053
2021,21042,29711872,21,042
2021,21031,12620576,21,031
2021,21032,12741591,21,032
2021,21041,3058709,21,041
2021,21166,6134563,21,166
2021,21012,17602152,21,012
2021,21013,9635121,21,013
2021,21011,3008668,21,011
2021,21061,3689208,21,061
2021,21071,27381573,21,071
2021,21022,13623369,21,022
2021,21084,26888034,21,084
2021,21082,16073370,21,082
2021,21120,2697419,21,120
2021,21091,28324294,21,091
2021,21999,0,21,999
2021,21131,3625929,21,131
2021,21132,9063826,21,132
2021,21133,2349541,21,133
2021,21064,8493620,21,064
2021,21200,1887171,21,200
2021,21062,10516787,21,062
2021,21067,5239813,21,067
2021,21065,14228635,21,065
2021,21101,17892805,21,101
2021,21111,36589005,21,111
2021,21161,3934389,21,161
2021,21165,6566831,21,165
2021,21162,13208217,21,162
2021,21102,21358524,21,102
2021,21121,6568132,21,121
2021,72040,58782351,72,040
2021,72061,10084252,72,061
2021,72361,12927543,72,361
2021,36012,28346440,36,012
2021,72380,188487376,72,380
2021,36021,9987896,36,021
2021,72350,38799548,72,350
2021,72030,169002824,72,030
2021,72110,39042967,72,110
2021,72070,58173628,72,070
2021,72999,0,72,999
2021,72071,23806338,72,071
2021,36020,0,36,020
2021,72150,16486864,72,150
2021,72151,8373930,72,151
2021,72200,76250923,72,200
2021,72191,12837486,72,191
2021,72423,60972578,72,423
2021,72192,13013788,72,192
2021,72194,15510112,72,194
2021,36050,51412592,36,050
2021,36036,1296107,36,036
2021,36022,3905303,36,022
2021,36041,56772975,36,041
2021,36060,3323354,36,060
2021,72193,20199939,72,193
2021,72230,7844444,72,230
2021,70010,56074164,70,010
2021,72052,13615937,72,052
2021,72293,2225536,72,293
2021,72080,15243310,72,080
2021,72120,20222093,72,120
2021,72091,17882416,72,091
2021,72092,10612759,72,092
2021,70020,82457123,70,020
2021,70070,29436305,70,070
2021,72130,10434083,72,130
2021,72121,19648808,72,121
2021,72171,8037469,72,171
2021,70150,4660014,70,150
2021,70080,94314718,70,080
2021,70083,17330568,70,083
2021,70999,0,70,999
2021,70111,53090256,70,111
2021,72170,12150597,72,170
2021,72260,10164829,72,260
2021,72251,4344955,72,251
2021,72221,36180501,72,221
2021,72212,52086740,72,212
2021,72222,4811359,72,222
2021,72223,6969986,72,223
2021,72282,84650296,72,282
2021,70120,33049385,70,120
2021,70091,6684047,70,091
2021,70100,30563669,70,100
2021,70140,4693784,70,140
2021,19020,7872105,19,020
2021,19010,12337457,19,010
2021,19030,3655419,19,030
2021,19060,31007547,19,060
2021,19032,8072788,19,032
2021,19040,3640750,19,040
2021,19100,4406895,19,100
2021,19011,3360257,19,011
2021,19061,2750465,19,061
2021,19050,6494033,19,050
2021,19025,7622821,19,025
2021,19038,1369014,19,038
2021,30061,6458925,30,061
2021,30022,11099497,30,022
2021,30040,6713545,30,040
2021,30010,14299905,30,010
2021,30012,37750193,30,012
2021,30053,15614407,30,053
2021,30060,2961400,30,060
2021,21151,3707797,21,151
2021,30020,3649393,30,020
2021,30030,13547089,30,030
2021,30011,18341677,30,011
2021,30042,19985208,30,042
2021,30052,4441419,30,052
2021,30070,20860441,30,070
2021,30080,11967567,30,080
2021,30071,5060547,30,071
2021,30999,0,30,999
2021,30062,7948490,30,062
2021,30050,2106548,30,050
2021,30100,330000,30,100
2021,30082,218000,30,082
2021,30063,2104828,30,063
2021,30051,12783967,30,051
2021,30092,3586987,30,092
2021,30041,5290115,30,041
2021,30031,3196912,30,031
2021,30054,18377819,30,054
2021,39310,15637053,39,310
2021,39101,3567418,39,101
2021,39100,30406217,39,100
2021,39080,72363376,39,080
2021,39060,18342593,39,060
2021,39071,41843159,39,071
2021,39050,29434087,39,050
2021,39010,37628061,39,010
2021,39030,7926606,39,030
2021,39020,8722789,39,020
2021,39040,16816328,39,040
2021,39160,24981468,39,160
2021,39130,7938371,39,130
2021,39122,28686167,39,122
2021,39140,10246218,39,140
2021,39110,30970961,39,110
2021,72420,1894104,72,420
2021,72431,10416590,72,431
2021,72432,3749041,72,432
2021,72422,38114269,72,422
2021,39270,6782513,39,270
2021,39151,35521922,39,151
2021,39081,6188492,39,081
2021,39260,12196395,39,260
2021,39210,35770381,39,210
2021,39200,10411355,39,200
2021,39280,1128492,39,280
2021,39211,25931727,39,211
2021,39250,12805896,39,250
2021,39131,19322655,39,131
2021,39330,4262954,39,330
2021,39132,9523305,39,132
2021,39290,5758903,39,290
2021,39082,11180761,39,082
2021,39180,10956273,39,180
2021,39340,1215667,39,340
2021,39400,4888821,39,400
2021,39410,5582186,39,410
2021,39300,1302556,39,300
2021,39220,2083929,39,220
2021,39133,3435055,39,133
2021,70130,56939913,70,130
2021,70151,4026829,70,151
2021,70121,9687677,70,121
2021,72281,27499950,72,281
2021,72271,42532042,72,271
2021,72274,30124866,72,274
2021,72321,42620692,72,321
2021,72330,43122848,72,330
2021,70210,12465311,70,210
2021,70220,32811820,70,220
2021,70170,10768928,70,170
2021,70300,724169,70,300
2021,70180,30382069,70,180
2021,70230,7153373,70,230
2021,72312,16239112,72,312
2021,72323,14607614,72,323
2021,72300,19495183,72,300
2021,72310,15753839,72,310
2021,70250,5766153,70,250
2021,72345,22877866,72,345
2021,14040,2538811,14,040
2021,14030,22930421,14,030
2021,14010,4644348,14,010
2021,14020,15508469,14,020
2021,70260,1851346,70,260
2021,70101,5925425,70,101
2021,70240,48415183,70,240
2021,70241,7253086,70,241
2021,70280,28398300,70,280
2021,28030,6045461,28,030
2021,28099,8187929,28,099
2021,28034,5328290,28,034
2021,28031,20325613,28,031
2021,28102,1423959,28,102
2021,28012,4259409,28,012
2021,28100,34640253,28,100
2021,28032,12561617,28,032
2021,28022,20862248,28,022
2021,28011,23906692,28,011
2021,28015,58291337,28,015
2021,28014,5706294,28,014
2021,28039,6549523,28,039
2021,28999,0,28,999
2021,28036,63759263,28,036
2021,28037,2236444,28,037
2021,28101,3615282,28,101
2021,28104,2238073,28,104
2021,28088,10515640,28,088
2021,28013,3891596,28,013
2021,28046,15323847,28,046
2021,28040,16694834,28,040
2021,28043,38934231,28,043
2021,28050,20883807,28,050
2021,28047,15334688,28,047
2021,28061,11955871,28,061
2021,28103,27866529,28,103
2021,28045,21079220,28,045
2021,13010,9600384,13,010
2021,13050,16148931,13,050
2021,13020,3373994,13,020
2021,13032,23546816,13,032
2021,13314,14966288,13,314
2021,13100,16117608,13,100
2021,13310,10583887,13,310
2021,13090,5153315,13,090
2021,13341,1492299,13,341
2021,13130,46369623,13,130
2021,13182,3446327,13,182
2021,13342,2215067,13,342
2021,13080,14518426,13,080
2021,13110,2636197,13,110
2021,13120,14323852,13,120
2021,13070,6534689,13,070
2021,13340,2472716,13,340
2021,13060,3295107,13,060
2021,13312,9529423,13,312
2021,13140,19032286,13,140
2021,13315,2573728,13,315
2021,13171,8358605,13,171
2021,13160,1664255,13,160
2021,13170,28965201,13,170
2021,13180,5433917,13,180
2021,13344,1332884,13,344
2021,13151,6758916,13,151
2021,13345,3391667,13,345
2021,13320,6560067,13,320
2021,13260,24916692,13,260
2021,13240,19054084,13,240
2021,13316,5042824,13,316
2021,13152,6744781,13,152
2021,13210,21924054,13,210
2021,13250,11358617,13,250
2021,13270,10127173,13,270
2021,13400,590092,13,400
2021,13330,1208228,13,330
2021,13280,6563827,13,280
2021,37051,12703985,37,051
2021,37021,37330904,37,021
2021,37023,11574753,37,023
2021,37024,30672057,37,024
2021,37010,7984437,37,010
2021,37011,2039986,37,011
2021,37070,22067118,37,070
2021,37022,3631129,37,022
2021,37033,41642135,37,033
2021,37052,9999516,37,052
2021,37053,33309141,37,053
2021,37054,4119489,37,054
2021,37092,33985655,37,092
2021,37075,4267805,37,075
2021,37130,11263099,37,130
2021,37121,17733569,37,121
2021,37150,28754286,37,150
2021,37200,17137467,37,200
2021,37101,20144353,37,101
2021,37181,39502707,37,181
2021,37171,10724526,37,171
2021,37161,3931150,37,161
2021,37134,1584077,37,134
2021,37164,2942268,37,164
2021,37180,1963378,37,180
2021,37162,15656680,37,162
2021,37163,8415733,37,163
2021,37190,12608259,37,190
2021,37183,7469259,37,183
2021,37999,0,37,999
2021,37061,29946256,37,061
2021,37063,1688764,37,063
2021,37103,3983605,37,103
2021,37102,8147553,37,102
2021,37185,5736957,37,185
2021,32224,5395072,32,224
2021,32055,6009213,32,055
2021,32050,3425775,32,050
2021,32255,4607785,32,255
2021,32043,1895380,32,043
2021,32250,6142899,32,250
2021,32040,2491266,32,040
2021,32232,2252276,32,232
2021,32161,5498486,32,161
2021,32010,13657838,32,010
2021,32041,1882527,32,041
2021,32060,7951729,32,060
2021,32220,10530801,32,220
2021,32230,22607286,32,230
2021,32020,8298773,32,020
2021,32300,2701580,32,300
2021,32042,1874195,32,042
2021,32070,7087485,32,070
2021,32080,1800279,32,080
2021,32275,1238958,32,275
2021,32257,1087536,32,257
2021,32201,2571619,32,201
2021,32090,5164139,32,090
2021,32227,1308975,32,227
2021,32075,2151000,32,075
2021,32200,6278120,32,200
2021,32151,4707426,32,151
2021,32330,1480325,32,330
2021,32150,9709119,32,150
2021,32222,7737228,32,222
2021,32175,8925151,32,175
2021,32160,5237792,32,160
2021,32170,4929549,32,170
2021,32360,1781536,32,360
2021,32350,1915411,32,350
2021,32320,3527058,32,320
2021,32130,10605600,32,130
2021,32110,6798290,32,110
2021,32100,1978856,32,100
2021,32226,9768406,32,226
2021,32340,1982090,32,340
2021,32120,26979321,32,120
2021,32045,4925261,32,045
2021,32190,4114694,32,190
2021,32061,1548565,32,061
2021,32181,10708080,32,181
2021,32270,3693083,32,270
2021,32310,3173909,32,310
2021,32180,4577879,32,180
2021,32262,1741678,32,262
2021,12071,8603420,12,071
2021,12041,2529913,12,041
2021,12064,1718925,12,064
2021,12031,2220694,12,031
2021,12032,7072805,12,032
2021,12999,0,12,999
2021,12021,10209213,12,021
2021,12010,17155437,12,010
2021,12022,20000812,12,022
2021,12162,17285707,12,162
2021,12051,5034268,12,051
2021,12052,2611050,12,052
2021,12054,1659553,12,054
2021,12065,2245996,12,065
2021,12063,1565221,12,063
2021,12061,25310706,12,061
2021,12033,10538931,12,033
2021,12072,7579446,12,072
2021,12122,2347391,12,122
2021,12150,3692795,12,150
2021,12093,1288724,12,093
2021,12091,3203431,12,091
2021,12111,4838245,12,111
2021,12087,4822112,12,087
2021,12053,2623696,12,053
2021,12081,1865582,12,081
2021,12088,1677364,12,088
2021,12082,4637586,12,082
2021,12085,6439653,12,085
2021,12086,3168235,12,086
2021,12084,5347072,12,084
2021,12101,7453188,12,101
2021,12121,4410593,12,121
2021,12132,2125143,12,132
2021,12141,7817223,12,141
2021,12112,3652031,12,112
2021,12190,2056494,12,190
2021,12142,11182976,12,142
2021,12151,3237373,12,151
2021,12191,980000,12,191
2021,12042,7779665,12,042
2021,12044,6664417,12,044
2021,12046,7172894,12,046
2021,12043,4451752,12,043
2021,12073,7388057,12,073
