,build_type,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Commercial,,4486453363,4583666691,5027182436,4040006414,3858066791,3718690483,3643045283,3566668672,3497252347,3479000897,3519640706,3689313722,3663761400,3810497164,3925787527,3742174063,3749181060
Incentive,,112257370,148087340,195776910,224105200,213984170,243807780,249075180,262881010,280928700,295064670,315243330,371965700,393624440,431226520,454130700,445329440,457130790
7,,1571030,1571030,1673170,1404530,1404530,1313610,1661570,2159260,898670,898670,,4848360,6620520,11110440,10421860,12537640,12672940
8,,110686340,146516310,194103740,222700670,212579640,242494170,247413610,260721750,280030030,294166000,315243330,367117340,387003920,420116080,443708840,432791800,444457850
Non-Incentive,,4374195993,4435579351,4831405526,3815901214,3644082621,3474882703,3393970103,3303787662,3216323647,3183936227,3204397376,3317348022,3270136960,3379270644,3471656827,3296844623,3292050270
Industrial,,1618289022,1602691038,1746209982,1386930609,1319628739,1242537728,1252069818,1212950662,1176603683,1180589445,1157902823,1266806935,1246959785,1232247595,1425792701,1535770325,1987643833
Incentive,,551010990,547264970,630812930,537810110,521436380,499159340,531998530,521303890,511756290,517623900,516655270,574131000,558607330,551147620,648021310,677086770,1228866190
6,,479997040,427824550,487578720,374070620,373807180,345815200,344726910,309584790,295950130,279526980,266331210,289386210,278467990,269715770,301693670,307918150,300547700
8,,71013950,119440420,143234210,163739490,147629200,153344140,187271620,211719100,215806160,238096920,250324060,284744790,280139340,281431850,346327640,369168620,928318490
Non-Incentive,,1067278032,1055426068,1115397052,849120499,798192359,743378388,720071288,691646772,664847393,662965545,641247553,692675935,688352455,681099975,777771391,858683555,758777643
Grand Total,,6104742385,6186357729,6773392418,5426937023,5177695530,4961228211,4895115101,4779619334,4673856030,4659590342,4677543529,4956120657,4910721185,5042744759,5351580228,5277944388,5736824893